review_id,rating,snippet,description,iso_date_of_last_edit,date,user_name,likes,link
Ci9DQUlRQUNvZENodHljRjlvT21kMGQwZGxUbkJ6VTI5TmRGbHBXbDh3V2xWUVNWRRAB,5,,,,a month ago,Claudiu Găman,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21kMGQwZGxUbkJ6VTI5TmRGbHBXbDh3V2xWUVNWRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT21ReFpWaHVZVUpxWjNsc2NHYzJNWFp0VTFaNWVGRRAB,5,,,,a month ago,Gʀᴀᴛɪᴇʟᴀ Aᴍᴀʟɪᴀ,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21ReFpWaHVZVUpxWjNsc2NHYzJNWFp0VTFaNWVGRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT21GS01UWlNOMW93Y0dSclJqZHlSRzFtYkhSMlRsRRAB,1,"Dezamăgitor, te duci să mănânci ceva bun cum avea reputația și dai de grădina zoologică, tot restaurantul e plin de pisici, stau sub mesele clienților și în tot restaurantul, cu siguranță și în bucătărie.",,,a month ago,Anca Roxana Stancu,2,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21GS01UWlNOMW93Y0dSclJqZHlSRzFtYkhSMlRsRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2xCdE9XUm5lVGhSU1RNMVVra3lXWFkzTTJKdmQyYxAB,5,,,,a month ago,Dragos Homoceanu,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xCdE9XUm5lVGhSU1RNMVVra3lXWFkzTTJKdmQyYxAB!2m1!1s
ChZDSUhNMG9nS0VJQ0FnSUNpdUxDS0F3EAE,5,Foarte plăcută experinta aici,,,Edited a month ago,Andreea Scarlat,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNpdUxDS0F3EAE!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2pGQkxXaGpNMnA2TWpscFNHUndiVjl3VVc5U2NuYxAB,4,,,,a month ago,Alexandru Ghene-Alexe,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pGQkxXaGpNMnA2TWpscFNHUndiVjl3VVc5U2NuYxAB!2m1!1s
ChZDSUhNMG9nS0VJQ0FnSUQwLVppRkxREAE,1,"Niciodata nu primim comanda care trebuie,mereu lipsesc produse
Lipsa de profesionalism si nepăsare!",,,Edited a month ago,Iulia Condrache,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUQwLVppRkxREAE!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT21aRU4xZFJORXA1YkV4blVtUldka3MzT1V4UVVtYxAB,5,,,,a month ago,Aleksander,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT21aRU4xZFJORXA1YkV4blVtUldka3MzT1V4UVVtYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2pGck1qUkhlbWhKZEdoRExYVm5XR2hvVEhOblRGRRAB,5,,,,2 months ago,Florentin Maneci,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pGck1qUkhlbWhKZEdoRExYVm5XR2hvVEhOblRGRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT25sR1IwTk9iME50U2xjdGFXaDFTSGhCWTFKcmMwRRAB,5,Recomand cu drag!O locatie frumoasa si primitoare,,,2 months ago,Andreia Butoi,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT25sR1IwTk9iME50U2xjdGFXaDFTSGhCWTFKcmMwRRAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2xSdVpUTktaWGxVU2preFkwMVNWakIzVlZFd1ZtYxAB,5,,,,2 months ago,Irina Beatrice Șerban,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xSdVpUTktaWGxVU2preFkwMVNWakIzVlZFd1ZtYxAB!2m1!1s
Ci9DQUlRQUNvZENodHljRjlvT2s0eFZUa3dOamh6VVdWNllYRk9ka3d6UVhKRFkxRRAB,5,,,,2 months ago,Catalina Nuta,0,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2s0eFZUa3dOamh6VVdWNllYRk9ka3d6UVhKRFkxRRAB!2m1!1s
